Number of attempt,Reward,Time taken,Number of actions
0,556,300.3066418,945
1,-359,300.5245278,860
2,-325,300.4735632,826
3,9384,234.9247231,627
4,-266,300.4832733,767
5,-755,300.3168242,755
6,10654,140.1045468,347
7,-231,300.328999,731
8,10175,136.8012033,326
9,-196,300.2992578,696
10,10615,168.8856709,386
11,-680,300.5215294,681
12,324,300.3364305,676
13,-500,225.4948504,501
14,-659,300.7962091,660
15,-149,300.4336317,649
16,-148,300.6800408,649
17,-648,300.7265732,649
18,9726,127.6635275,275
19,-646,300.5775728,647
20,9853,68.56798434,147
21,-646,300.4571748,646
22,9571,199.9281788,429
23,-645,300.6216638,646
24,10325,82.47219825,176
25,-642,300.6103361,643
26,9897,48.9685173,104
27,361,300.4395335,640
28,-640,300.4825988,640
29,-640,300.4206583,640
