Number of attempt,Reward,Time taken,Number of actions
0,-266,297.1035728,767
1,-766,300.5903776,767
2,-728,300.4515991,728
3,-191,300.8257551,692
4,-664,300.755712,665
5,-636,300.5692267,637
6,-81,300.5844178,582
7,-549,300.4438441,549
8,9894,65.29732895,117
9,10170,195.8903911,331
10,-458,300.6602392,458
11,10618,271.0994146,383
12,11123,298.9991822,378
13,128,301.1395426,373
14,-377,300.737319,377
15,9965,29.82413507,36
16,-362,300.7099905,363
17,10842,133.7554319,159
18,640,301.4033101,361
19,-342,300.7591155,342
20,11906,84.15562177,95
21,-293,252.8119106,294
22,9981,18.96365047,20
23,-342,300.9812262,343
24,165,300.7598526,335
25,9968,30.61276722,33
26,-332,300.9239457,333
27,162,300.9555218,339
28,-327,301.3808405,328
29,-340,300.7970603,340
