Number of attempt,Reward,Time taken,Number of actions
0,-205,300.6898263,706
1,-41,300.5660336,541
2,51,300.7561347,450
3,17,300.8350983,484
4,9938,37.39012313,63
5,2062,300.6856849,438
6,602,301.211911,399
7,0,301.060312,0
8,-393,300.8987684,394
9,9685,246.6270578,316
10,123,300.9277396,378
11,-370,300.6330805,370
12,10685,264.9544547,316
13,-358,301.1595092,359
14,148,301.2208796,353
15,166,301.076623,335
16,9786,192.4788303,215
17,-336,300.9594347,337
18,-328,301.0049322,329
19,-327,301.2219801,328
20,676,301.0254948,325
21,9985,14.58982658,16
22,-322,301.0318537,323
23,10355,134.4341824,146
24,-329,301.3263237,330
25,-333,301.1957247,334
26,-328,300.8714919,328
27,162,301.1085565,339
28,163,300.9594724,338
29,-329,301.3141825,330
