Number of attempt,Reward,Time taken,Number of actions
0,489,300.2200096,1011
1,-944,300.1727469,944
2,-410,300.5783546,911
3,9630,130.8376939,370
4,-340,300.5419736,841
5,-830,300.3344495,830
6,9903,221.7312455,597
7,-275,300.4652019,776
8,-257,300.2259247,757
9,-753,300.3455868,753
10,-746,300.5290029,747
11,-740,300.2836773,740
12,268,300.429245,733
13,-229,300.3023002,729
14,-228,300.585928,729
15,10967,223.3367739,534
16,10711,124.786087,290
17,10891,266.6287811,610
18,9868,59.17820859,133
19,-675,300.4003799,675
20,11781,99.05655766,220
21,9862,291.5053935,638
22,-644,300.7688301,645
23,11122,177.0880013,379
24,860,300.3222663,640
25,2216,134.65149,285
26,-633,300.6770356,634
27,-632,300.3446312,632
28,-632,300.7643826,633
29,368,300.4285491,632
