Number of attempt,Reward,Time taken,Number of actions
0,-18202.0,337.5797531604767,14157
1,-16943.0,330.7652657032013,13878
2,-12896.0,238.2007234096527,9975
3,-11257.0,206.91735005378723,8768
4,4904.0,131.36880922317505,5517
5,-19514.0,359.96222710609436,15137
6,-18557.0,360.0031018257141,15144
7,-19547.0,360.0145773887634,15189
8,-19621.0,360.0255320072174,15201
9,-5684.0,122.82365274429321,5161
10,-19588.0,360.01507234573364,15097
11,-19550.0,359.9652154445648,15061
12,-19549.0,360.0200569629669,15156
13,-880.0,16.095941066741943,653
14,-10463.0,211.42080354690552,8849
15,-19016.0,359.96270537376404,15086
16,2850.0,177.4436366558075,7448
17,-4995.0,100.97555661201477,4254
18,-17011.0,359.96072125434875,15059
19,-19558.0,359.961706161499,15133
20,-263.0,4.882946491241455,177
21,-19003.0,359.9736752510071,14215
22,-4711.0,290.17677307128906,10554
23,7516.0,46.083313941955566,1719
24,-4312.0,88.5063943862915,3210
25,7405.0,56.83905100822449,2079
26,-3756.0,253.79751634597778,9235
27,5432.0,101.98535990715027,3763
28,4845.0,113.78332710266113,4141
29,-19601.0,359.9701910018921,13213
30,7130.0,62.05610513687134,2276
31,-12524.0,231.61082983016968,8451
32,-19463.0,359.9711890220642,13172
33,-5093.0,131.03769373893738,4922
34,662.0,52.75397276878357,2259
35,-18993.0,359.96271800994873,15142
36,-296.0,5.500294923782349,238
37,-1232.0,32.26374912261963,1372
38,-19548.0,359.97816944122314,15159
39,4595.0,126.64294838905334,5301
40,1231.0,170.6872045993805,7211
41,-18589.0,360.0083374977112,15147
42,-3149.0,271.2448766231537,11346
43,-19072.0,359.9677541255951,15097
44,-18549.0,359.94226455688477,15118
45,-7162.0,140.81256437301636,5906
46,-18008.0,359.9617178440094,15089
47,-2838.0,52.18449378013611,2167
48,8559.0,35.52503156661987,1513
49,-3823.0,311.3860692977905,13010
50,-6446.0,119.44867515563965,5002
51,-19515.0,359.94284296035767,15051
52,-18944.0,359.9681968688965,15077
53,-386.0,7.421160697937012,298
54,4815.0,95.73506927490234,4043
55,-16435.0,320.9884011745453,13429
56,-1977.0,55.425830125808716,2309
57,-19089.0,359.9632091522217,14784
58,-1411.0,26.42535638809204,978
59,10153.0,6.557471513748169,232
60,4309.0,132.6738419532776,4907
61,-19002.0,360.0006034374237,13087
62,-6026.0,313.7108566761017,11516
63,-17976.0,359.95872950553894,13129
64,4021.0,109.99146556854248,4023
65,-839.0,15.481611013412476,571
66,5682.0,80.30232548713684,2940
67,-19496.0,359.95672035217285,13160
68,-19113.0,359.94426250457764,13209
69,-3825.0,254.54602646827698,9316
70,-19596.0,360.0180630683899,13256
71,-6458.0,321.40978622436523,11937
72,-19490.0,359.96272134780884,13718
73,-441.0,35.91299223899841,1512
74,-19036.0,359.94128012657166,14995
75,9514.0,9.148540496826172,386
76,-4142.0,269.7274475097656,11373
77,-18916.0,360.01608180999756,14902
78,5660.0,116.82169818878174,4805
79,-18916.0,359.9597110748291,15036
80,5302.0,96.11505341529846,4050
81,-2560.0,84.10715317726135,3576
82,190.0,218.15978717803955,9211
83,-19183.0,359.9577987194061,14955
84,-4074.0,88.364173412323,3198
85,3023.0,146.2263708114624,5787
86,-14019.0,304.4278316497803,12077
87,-18488.0,359.9595949649811,14295
88,1686.0,160.610431432724,6420
89,-18706.0,359.9621880054474,14425
90,-4073.0,272.9296259880066,10928
91,-736.0,14.007416009902954,580
92,-18848.0,359.94822216033936,14490
93,-18407.0,359.9600439071655,14725
94,9357.0,39.63703632354736,1686
95,9901.0,21.20735239982605,867
96,-19463.0,359.9696388244629,15059
97,-10859.0,227.9625813961029,9531
98,7496.0,46.3994665145874,1915
99,7798.0,50.71442365646362,1975
