,Number of attempt,Reward,Time taken,Number of actions
0,0,-500.0,300.24218130111694,1000
1,1,-980.0,300.48422861099243,981
2,2,-421.0,300.26542615890503,921
3,3,-412.0,300.2544004917145,912
4,4,-411.0,300.46568036079407,912
5,5,-403.0,300.49847435951233,904
6,6,614.0,300.47731757164,887
7,7,-359.0,300.48156213760376,860
8,8,-342.0,300.4807553291321,843
9,9,-332.0,300.3153750896454,832
10,10,-825.0,300.41131067276,826
11,11,192.0,300.48210048675537,809
12,12,-289.0,300.39239382743835,789
13,13,-284.0,300.4689221382141,785
14,14,-286.0,300.4041750431061,786
15,15,-279.0,300.5003046989441,780
16,16,-270.0,300.54682993888855,771
17,17,-272.0,300.3654577732086,772
18,18,-770.0,300.51496481895447,771
19,19,-771.0,300.57848477363586,772
20,20,230.0,300.2841899394989,770
21,21,-766.0,300.24513578414917,766
22,22,-265.0,300.5420322418213,766
23,23,-266.0,300.4305012226105,767
24,24,-266.0,300.2846839427948,766
25,25,-266.0,300.31988430023193,766
26,26,-766.0,300.2914066314697,766
27,27,-266.0,300.64952659606934,767
28,28,-766.0,300.58809304237366,767
29,29,-266.0,300.2535870075226,766
