,Number of attempt,Reward,Time taken,Number of actions
0,0,-1155.0,300.3394889831543,1156
1,1,-489.0,300.248263835907,989
2,2,-974.0,300.3126940727234,974
3,3,-466.0,300.177227973938,966
4,4,-441.0,300.1708097457886,941
5,5,-930.0,300.2655611038208,930
6,6,-420.0,300.2123851776123,920
7,7,-918.0,300.2499225139618,918
8,8,-419.0,300.47742772102356,920
9,9,-919.0,300.3945081233978,920
10,10,-920.0,300.27620911598206,920
11,11,-919.0,300.32183289527893,919
12,12,-420.0,300.2463757991791,920
13,13,-419.0,300.39904618263245,920
14,14,-419.0,300.3723294734955,920
15,15,-919.0,300.45501708984375,920
16,16,-418.0,300.3006443977356,919
17,17,-417.0,300.4091410636902,918
18,18,-917.0,300.27117228507996,918
19,19,-415.0,300.2927587032318,916
20,20,-418.0,300.381019115448,919
21,21,-919.0,300.41013050079346,920
22,22,-418.0,300.40589118003845,919
23,23,-419.0,300.496230840683,920
24,24,-419.0,300.2841076850891,919
25,25,-912.0,300.3268163204193,913
26,26,-914.0,300.3777389526367,915
27,27,-913.0,300.3160967826843,913
28,28,117.0,300.30696201324463,883
29,29,-350.0,300.3730185031891,851
