,Number of attempt,Reward,Time taken,Number of actions
0,0,-610.0,300.60239005088806,611
1,1,-77.0,300.902930021286,578
2,2,-72.0,300.7104573249817,573
3,3,-60.0,300.7866542339325,561
4,4,-53.0,300.6879758834839,554
5,5,-49.0,300.9311566352844,550
6,6,-538.0,301.01689052581787,539
7,7,-5.0,300.9567959308624,506
8,8,0.0,300.9176070690155,501
9,9,106.0,300.95743203163147,395
10,10,107.0,300.87202620506287,394
11,11,132.0,301.6340913772583,369
12,12,124.0,300.9673502445221,377
13,13,99.0,300.61230635643005,402
14,14,97.0,300.606817483902,404
15,15,585.0,300.9719822406769,416
16,16,88.0,300.9492139816284,413
17,17,74.0,300.552773475647,426
18,18,90.0,300.90915298461914,411
19,19,0.0,300.66830229759216,0
20,20,79.0,300.8712422847748,422
21,21,68.0,300.7630214691162,433
22,22,68.0,300.98101139068604,433
23,23,101.0,300.7802538871765,400
24,24,588.0,301.03175234794617,412
25,25,593.0,300.65449571609497,407
26,26,-397.0,300.7153353691101,397
27,27,97.0,300.57528805732727,403
28,28,107.0,300.9671583175659,394
29,29,126.0,300.8173153400421,375
