,Number of attempt,Reward,Time taken,Number of actions
0,0,-143.0,300.78014397621155,644
1,1,-140.0,300.34046602249146,640
2,2,-76.0,300.5179491043091,576
3,3,-523.0,300.5110001564026,523
4,4,-15.0,300.8018455505371,516
5,5,-502.0,300.91038370132446,503
6,6,-495.0,300.59505105018616,496
7,7,-510.0,300.64052057266235,511
8,8,514.0,300.6720943450928,487
9,9,44.0,300.6484842300415,457
10,10,26.0,300.9001190662384,475
11,11,73.0,300.56652641296387,427
12,12,62.0,300.72542691230774,439
13,13,-448.0,301.01382088661194,449
14,14,55.0,300.60440707206726,445
15,15,583.0,301.1494505405426,418
16,16,80.0,300.8441970348358,421
17,17,584.0,300.720472574234,417
18,18,95.0,301.191045999527,406
19,19,584.0,301.0515983104706,417
20,20,130.0,301.08253741264343,371
21,21,97.0,300.723863363266,404
22,22,115.0,301.0927004814148,386
23,23,99.0,301.00222873687744,402
24,24,-397.0,301.02769923210144,398
25,25,90.0,300.96012902259827,411
26,26,83.0,300.79450249671936,418
27,27,98.0,301.3590307235718,403
28,28,152.0,301.27964663505554,349
29,29,141.0,300.5424461364746,360
