,Number of attempt,Reward,Time taken,Number of actions
0,0,-578.0,300.39760732650757,1079
1,1,-1021.0,300.49382638931274,1022
2,2,-476.0,300.32504868507385,977
3,3,-422.0,300.2365970611572,922
4,4,-416.0,300.27809262275696,916
5,5,-898.0,300.4715898036957,899
6,6,-393.0,300.4702818393707,894
7,7,-391.0,300.4151191711426,892
8,8,-390.0,300.36530327796936,890
9,9,-887.0,300.47122025489807,888
10,10,-386.0,300.23870611190796,886
11,11,-381.0,300.36284279823303,882
12,12,-367.0,300.4970266819,868
13,13,-367.0,300.42843413352966,868
14,14,-867.0,300.42152214050293,868
15,15,-367.0,300.37863659858704,868
16,16,-367.0,300.4117341041565,868
17,17,-366.0,300.40965461730957,867
18,18,-368.0,300.39674496650696,869
19,19,-367.0,300.5006227493286,868
20,20,-367.0,300.35982370376587,868
21,21,-367.0,300.24964570999146,867
22,22,-367.0,300.31014585494995,867
23,23,134.0,300.24856305122375,866
24,24,-862.0,300.3849775791168,863
25,25,-361.0,300.2646780014038,861
26,26,-864.0,300.30262088775635,864
27,27,-355.0,300.30961441993713,855
28,28,-346.0,300.43487071990967,847
29,29,-347.0,300.556214094162,848
