,Number of attempt,Reward,Time taken,Number of actions
0,0,-551.0,300.26972103118896,1051
1,1,-995.0,300.26277470588684,995
2,2,-960.0,300.2266790866852,960
3,3,-424.0,300.30159068107605,924
4,4,-422.0,300.2526400089264,922
5,5,-912.0,300.281790971756,912
6,6,-389.0,300.37841033935547,890
7,7,-389.0,300.2378842830658,889
8,8,-391.0,300.3403377532959,891
9,9,-389.0,300.3100001811981,890
10,10,-386.0,300.2494673728943,886
11,11,-365.0,300.1838495731354,865
12,12,-871.0,300.5491156578064,872
13,13,-367.0,300.3975739479065,868
14,14,-365.0,300.3051493167877,865
15,15,-363.0,300.59194803237915,864
16,16,-863.0,300.3028676509857,863
17,17,-362.0,300.20290446281433,862
18,18,-361.0,300.38368105888367,862
19,19,-360.0,300.24659872055054,860
20,20,-862.0,300.2054052352905,862
21,21,-361.0,300.4624478816986,862
22,22,-361.0,300.35174655914307,862
23,23,145.0,300.5517506599426,856
24,24,-346.0,300.27794194221497,846
25,25,-345.0,300.56299352645874,846
26,26,-845.0,300.5069212913513,846
27,27,-844.0,300.29741072654724,844
28,28,-334.0,300.48011350631714,835
29,29,-340.0,300.4951364994049,841
