,Number of attempt,Reward,Time taken,Number of actions
0,0,-985.0,300.37969756126404,986
1,1,-432.0,300.47420954704285,933
2,2,-368.0,300.4547686576843,869
3,3,-341.0,300.428373336792,842
4,4,-333.0,300.3156547546387,833
5,5,-333.0,300.35132694244385,833
6,6,669.0,300.4913423061371,832
7,7,-330.0,300.5087196826935,831
8,8,-327.0,300.2991933822632,827
9,9,-326.0,300.3402256965637,826
10,10,-326.0,300.25921297073364,826
11,11,-313.0,300.3037338256836,813
12,12,-297.0,300.58149933815,798
13,13,203.0,300.57681035995483,798
14,14,-296.0,300.267662525177,796
15,15,-297.0,300.2490360736847,797
16,16,-297.0,300.2185089588165,797
17,17,209.0,300.3958537578583,792
18,18,213.0,300.2692701816559,787
19,19,-289.0,300.3701162338257,789
20,20,-289.0,300.2502062320709,789
21,21,-289.0,300.5827589035034,790
22,22,-292.0,300.30493235588074,792
23,23,-292.0,300.47794008255005,793
24,24,-286.0,300.51218914985657,787
25,25,-290.0,300.4404833316803,791
26,26,-283.0,300.4458270072937,784
27,27,-289.0,300.2935404777527,789
28,28,-287.0,300.48086762428284,788
29,29,-294.0,300.5731816291809,795
