Number of attempt,Reward,Time taken,Number of actions
0,-508,300.3172085,1008
1,1656,300.4618804,845
2,-258,300.5629859,759
3,-234,300.6102004,735
4,-730,300.580642,731
5,-217,300.3120701,717
6,-703,300.3430986,703
7,-702,300.6797419,703
8,-696,300.5389051,697
9,847,296.2958319,654
10,-141,300.6853106,642
11,-637,300.577966,638
12,-132,300.4883478,633
13,374,300.688293,627
14,10191,149.9213705,310
15,-619,300.440973,619
16,-619,300.6802337,620
17,384,300.5458102,617
18,11004,245.2635655,497
19,11961,270.141989,540
20,-598,300.7124646,599
21,-99,300.4056513,599
22,903,300.3002779,597
23,-596,300.4639812,596
24,-592,300.5280519,593
25,-94,300.4258432,594
26,-592,300.7026997,593
27,-592,300.7956481,593
28,-593,300.5624566,594
29,-596,300.3499186,596
