Number of attempt,Reward,Time taken,Number of actions
0,-701,300.3727746,701
1,-716,300.3748021,716
2,11451,288.7201102,550
3,24,300.9913902,477
4,45,300.7864442,456
5,-453,300.8987765,454
6,-455,300.6666591,456
7,9920,55.32370067,81
8,-436,300.6264031,437
9,9945,38.4557364,55
10,10288,149.8759942,213
11,78,300.9893451,423
12,10629,279.7672544,372
13,10830,133.800334,171
14,622,300.6714399,379
15,10398,83.87864804,103
16,10460,33.63971877,41
17,-370,300.9214871,371
18,-361,300.8751569,362
19,135,300.8891108,366
20,-366,301.4352961,367
21,145,300.7854061,355
22,-362,301.0266519,363
23,10401,85.46557021,100
24,646,300.7838705,354
25,10932,59.26836991,69
26,-350,301.223104,351
27,643,300.7138655,357
28,655,301.1694126,346
29,10322,139.3018212,178
