,Number of attempt,Reward,Time taken,Number of actions
0,0,-587.0,300.2602162361145,1088
1,1,9.0,300.29382038116455,991
2,2,119.0,300.4230377674103,882
3,3,-843.0,300.3286380767822,844
4,4,-338.0,300.4546685218811,839
5,5,-831.0,300.278954744339,831
6,6,-826.0,300.54676151275635,827
7,7,207.0,300.34080934524536,793
8,8,-269.0,300.56270265579224,770
9,9,-767.0,300.39337635040283,767
10,10,1727.0,109.17923641204834,274
11,11,10524.0,199.53984427452087,477
12,12,-701.0,300.4985020160675,702
13,13,-699.0,300.6588795185089,700
14,14,-197.0,300.56488823890686,698
15,15,10726.0,120.74730014801025,275
16,16,-170.0,300.5080327987671,671
17,17,-671.0,300.56594014167786,672
18,18,-666.0,300.67527866363525,667
19,19,-166.0,300.5058934688568,667
20,20,1340.0,300.73466777801514,661
21,21,-648.0,300.43633794784546,648
22,22,10939.0,261.57319951057434,562
23,23,-636.0,300.708514213562,637
24,24,-637.0,300.59648180007935,638
25,25,-534.0,252.48418426513672,535
26,26,9581.0,198.1349699497223,419
27,27,-636.0,300.3797047138214,636
28,28,-635.0,300.70216155052185,636
29,29,11149.0,167.06719589233398,352
