,Number of attempt,Reward,Time taken,Number of actions
0,0,10317.0,215.21688890457153,684
1,1,-838.0,300.4770498275757,839
2,2,-819.0,300.31418466567993,820
3,3,-307.0,300.21007466316223,807
4,4,-10.0,197.56983709335327,510
5,5,554.0,182.86361002922058,447
6,6,-716.0,300.3257875442505,716
7,7,920.0,34.357914447784424,81
8,8,-700.0,300.59420228004456,701
9,9,-695.0,300.58537244796753,696
10,10,-60.0,26.91054058074951,61
11,11,-688.0,300.47037982940674,689
12,12,-684.0,300.4021039009094,684
13,13,334.0,300.55693435668945,667
14,14,-661.0,300.73751425743103,662
15,15,340.0,300.3670721054077,660
16,16,344.0,300.67992401123047,657
17,17,9589.0,190.08192682266235,411
18,18,-146.0,300.4703221321106,647
19,19,-147.0,300.43801832199097,647
20,20,-146.0,300.7573068141937,647
21,21,-643.0,300.57384729385376,644
22,22,10233.0,125.82722806930542,267
23,23,863.0,300.7267851829529,638
24,24,-632.0,300.4979910850525,633
25,25,-632.0,300.56526017189026,633
26,26,-130.0,300.6270980834961,631
27,27,9449.0,265.4479992389679,552
28,28,376.0,300.7546181678772,625
29,29,-624.0,300.2871057987213,624
