,Number of attempt,Reward,Time taken,Number of actions
0,0,-510.0,300.21249198913574,1010
1,1,-461.0,300.356498003006,962
2,2,-451.0,300.3882784843445,952
3,3,-915.0,300.2917742729187,915
4,4,-377.0,300.235524892807,877
5,5,-865.0,300.2342505455017,865
6,6,-364.0,300.58256912231445,865
7,7,-362.0,300.35142159461975,862
8,8,-361.0,300.4723665714264,862
9,9,-343.0,300.39008617401123,843
10,10,-341.0,300.35786724090576,841
11,11,-328.0,300.5498478412628,829
12,12,-801.0,300.45193338394165,802
13,13,-302.0,300.3204264640808,802
14,14,-302.0,300.3547947406769,802
15,15,-301.0,300.24611353874207,801
16,16,-302.0,300.2999758720398,802
17,17,-302.0,300.380765914917,802
18,18,-301.0,300.5735538005829,802
19,19,-300.0,300.31686091423035,800
20,20,-301.0,300.2485158443451,801
21,21,204.0,300.3440179824829,796
22,22,-286.0,300.4822189807892,787
23,23,-287.0,300.54677391052246,788
24,24,-278.0,300.5361647605896,779
25,25,-282.0,300.4173529148102,783
26,26,-282.0,300.3748502731323,782
27,27,-781.0,300.58212447166443,782
28,28,-282.0,300.511057138443,783
29,29,-274.0,300.3131184577942,774
