,Number of attempt,Reward,Time taken,Number of actions
0,0,-498.0,300.4690406322479,999
1,1,-970.0,300.2506756782532,970
2,2,-414.0,300.28039050102234,914
3,3,-398.0,300.29109048843384,898
4,4,-369.0,300.35217928886414,870
5,5,-369.0,300.238463640213,869
6,6,-364.0,300.22019481658936,864
7,7,-358.0,300.3988687992096,858
8,8,-347.0,300.2040796279907,847
9,9,-333.0,300.41614842414856,834
10,10,-333.0,300.3542070388794,834
11,11,-333.0,300.47385025024414,834
12,12,-335.0,300.25562286376953,835
13,13,-332.0,300.2605230808258,832
14,14,-332.0,300.5092816352844,833
15,15,-832.0,300.477237701416,833
16,16,-831.0,300.4291138648987,832
17,17,-830.0,300.4130816459656,831
18,18,-830.0,300.38998579978943,831
19,19,-828.0,300.3592998981476,828
20,20,-326.0,300.5674374103546,827
21,21,-326.0,300.4432508945465,827
22,22,178.0,300.386723279953,823
23,23,-301.0,300.3232522010803,801
24,24,-297.0,300.57975721359253,798
25,25,-290.0,300.28390312194824,790
26,26,218.0,300.317538022995,782
27,27,-289.0,300.5201847553253,790
28,28,-289.0,300.3000977039337,789
29,29,-286.0,300.4567139148712,787
